city,date_time,temp,humidity,weather_description,wind_speed
London,2024-12-07 18:00:00,6.8,83,light rain,9.91
London,2024-12-07 21:00:00,6.67,83,light rain,9.58
London,2024-12-08 00:00:00,6.81,86,light rain,9.26
London,2024-12-08 03:00:00,6.31,88,light rain,10.08
London,2024-12-08 06:00:00,6.65,88,moderate rain,10.42
London,2024-12-08 09:00:00,6.13,90,light rain,9.55
London,2024-12-08 12:00:00,6.34,90,light rain,8.57
London,2024-12-08 15:00:00,6.57,89,light rain,8.25
London,2024-12-08 18:00:00,7.81,85,light rain,7.72
London,2024-12-08 21:00:00,7.9,82,overcast clouds,7.35
London,2024-12-09 00:00:00,7.77,83,overcast clouds,6.79
London,2024-12-09 03:00:00,7.45,84,overcast clouds,6.57
London,2024-12-09 06:00:00,7.71,82,light rain,6.64
London,2024-12-09 09:00:00,7.3,78,light rain,7.05
London,2024-12-09 12:00:00,7.83,70,overcast clouds,6.88
London,2024-12-09 15:00:00,7.25,71,overcast clouds,6.44
London,2024-12-09 18:00:00,7.09,68,overcast clouds,6.44
London,2024-12-09 21:00:00,7.09,75,light rain,6.17
London,2024-12-10 00:00:00,6.25,84,overcast clouds,5.65
London,2024-12-10 03:00:00,6.84,81,overcast clouds,5.88
London,2024-12-10 06:00:00,7.04,87,light rain,5.47
London,2024-12-10 09:00:00,7.66,85,light rain,5.51
London,2024-12-10 12:00:00,8.01,88,overcast clouds,5.13
London,2024-12-10 15:00:00,8.3,87,overcast clouds,4.96
London,2024-12-10 18:00:00,8.28,82,overcast clouds,4.73
London,2024-12-10 21:00:00,7.7,79,light rain,4.8
London,2024-12-11 00:00:00,7.4,80,overcast clouds,4.56
London,2024-12-11 03:00:00,7.28,80,overcast clouds,3.98
London,2024-12-11 06:00:00,7.09,80,overcast clouds,3.44
London,2024-12-11 09:00:00,7.2,78,overcast clouds,3.22
London,2024-12-11 12:00:00,7.48,72,overcast clouds,3.57
London,2024-12-11 15:00:00,7.35,68,overcast clouds,3.53
London,2024-12-11 18:00:00,7.1,66,overcast clouds,3.41
London,2024-12-11 21:00:00,6.76,63,overcast clouds,3.32
London,2024-12-12 00:00:00,6.84,61,overcast clouds,3.34
London,2024-12-12 03:00:00,6.6,66,overcast clouds,2.84
London,2024-12-12 06:00:00,6.27,72,overcast clouds,2.66
London,2024-12-12 09:00:00,6.31,71,overcast clouds,2.48
London,2024-12-12 12:00:00,6.54,75,overcast clouds,2.53
London,2024-12-12 15:00:00,6.97,70,light rain,2.45
New York,2024-12-07 18:00:00,4.34,47,clear sky,5.22
New York,2024-12-07 21:00:00,4.01,47,scattered clouds,5.24
New York,2024-12-08 00:00:00,3.15,51,broken clouds,4.95
New York,2024-12-08 03:00:00,2.9,46,light snow,5.91
New York,2024-12-08 06:00:00,3.23,45,overcast clouds,7.08
New York,2024-12-08 09:00:00,3.78,48,overcast clouds,7.15
New York,2024-12-08 12:00:00,4.2,51,overcast clouds,6.78
